word,category
af,A
afaic,A
afaik,A
afk,A
afks,A
ai,A
aka,A
asap,A
asf,A
atm,A
bbeg,A
bm,A
bms,A
btw,A
dbs,A
ddos,A
dgaf,A
diy,A
diying,A
dm,A
dms,A
faqs,A
ffs,A
fmil,A
foh,A
fomo,A
ftm,A
fupa,A
fwiw,A
gtfoh,A
gtg,A
hbd,A
hmu,A
idc,A
idek,A
idfk,A
idgaf,A
idk,A
iifym,A
iirc,A
ijs,A
ikr,A
ily,A
imao,A
imo,A
irl,A
jfc,A
jk,A
jks,A
kys,A
lmao,A
lmfao,A
lmk,A
lolk,A
lvg,A
mcm,A
mgtow,A
mtfs,A
nbd,A
neet,A
neets,A
ngl,A
nimby,A
nimbyism,A
nimbys,A
npc,A
npcs,A
og,A
ogs,A
omw,A
ooc,A
ootb,A
op,A
otp,A
pbj,A
pmd,A
pmed,A
pvm,A
pvp,A
pvper,A
rn,A
rofl,A
sjw,A
sjws,A
smdh,A
smfh,A
smh,A
tbf,A
tbh,A
tfw,A
tifu,A
tldw,A
tyty,A
tyvm,A
vip,A
vips,A
yt,A
ddosed,A/D
ddoser,A/D
ddosers,A/D
pbjs,A/D
pvped,A/D
rper,A/D
ab,C
abit,C
abt,C
accs,C
accts,C
agg,C
aggro,C
aggros,C/D
aight,C
aite,C
alg,C
algos,C
algs,C
alt,C
alts,C
anthros,C
app,C
async,C
atk,C
auth,C
avg,C
bae,C
bants,C
bb,C
bc,C
bcos,C
bcoz,C
bcz,C
benzo,C
benzos,C
bhop,C
bhopping,C
boomin,C
bots,C
bougie,C
brooo,C
bruh,C
bruhhh,C
bruv,C
choreo,C
cig,C
collab,C
collabs,C
combo,C
comboes,C
combos,C
comms,C
comp,C
comps,C
coms,C
convo,C
convos,C
coop,C
coz,C
creds,C
crit,C
crits,C
cuck,C
cus,C
cuz,C
debuff,C
debuffed,C
debuffing,C
debuffs,C
decarb,C
decarbed,C
decarbing,C
defo,C
defs,C
desing,C
dev,C
devops,C
devs,C
doof,C
doxed,C
doxing,C
dropbears,C
dupe,C
dupes,C
esp,C
exp,C
fand,C
fav,C
fave,C
feat,C
feefees,C
fest,C
fests,C
fic,C
fics,C
frags,C
framily,C
fuckwit,C
func,C
garbo,C
glute,C
glutes,C
gon,C
hella,C
huntard,C
inbox,C
incl,C
info,C
infos,C
inspo,C
insta,C
jeggings,C
killstreak,C
knockups,C
lipo,C
lipos,C
lolno,C
lvled,C
lvling,C
lvls,C
merc,C
merch,C
mercs,C
mins,C
modding,C
nano,C
nanos,C
narc,C
narcs,C
obv,C
obvi,C
obvs,C
oneitis,C
org,C
orgs,C
param,C
params,C
pct,C
peeps,C
perm,C
platz,C
pleb,C
ppl,C
ppls,C
preciate,C
prep,C
prepped,C
prepping,C
preps,C
prev,C
pro,C
prob,C
probs,C
proc,C
procced,C
proccing,C
procing,C
procs,C
promo,C
prorate,C
psychs,C
quad,C
quads,C
qual,C
quant,C
rando,C
randos,C
reco,C
recs,C
reg,C
req,C
reqs,C
rez,C
secs,C
simming,C
simp,C
smth,C
sorcs,C
sorta,C
spec,C
sperg,C
stans,C
sth,C
stims,C
