	spearman
tho	0.999227799228
tbh	0.998712998713
shitpost	0.995624195624
idk	0.995366795367
lmao	0.995366795367
smh	0.995109395109
tbf	0.994851994852
jfc	0.994851994852
clickbaity	0.993564993565
weeb	0.99305019305
insane	0.991505791506
lowkey	0.991505791506
nah	0.991248391248
impactful	0.990733590734
skillups	0.990218790219
literally	0.989446589447
shitposting	0.988931788932
weirdly	0.988674388674
rn	0.988674388674
ffs	0.988416988417
aliexpress	0.988416988417
multiple	0.98815958816
vaporwave	0.987644787645
yooo	0.987387387387
meanwhile	0.986872586873
imo	0.986872586873
edgelord	0.986856489512
slog	0.9861003861
dogshit	0.9861003861
lmfaooo	0.985842985843
salty	0.985842985843
lol	0.985070785071
cammer	0.985070785071
misremembering	0.984813384813
ikr	0.984555984556
oneshot	0.984298584299
shitposter	0.984298584299
baity	0.984298584299
weebs	0.984041184041
cryorig	0.983968983131
lmaoo	0.983783783784
shitposts	0.983783783784
ultrawide	0.983526383526
blyat	0.983268983269
prioritise	0.983011583012
insta	0.982754182754
theyre	0.982496782497
paired	0.981981981982
additional	0.981981981982
grailed	0.981981981982
memed	0.981981981982
headcanon	0.981724581725
overall	0.981724581725
loool	0.981724581725
asf	0.981724581725
reliably	0.981467181467
aio	0.981467181467
rate	0.98120978121
prioritize	0.980952380952
farmable	0.980952380952
doable	0.98018018018
suuuper	0.98018018018
canonically	0.979665379665
defo	0.979665379665
yknow	0.979407979408
waifus	0.979150579151
stickied	0.979150579151
highest	0.979150579151
shitposted	0.978893178893
afaik	0.978893178893
yasss	0.978378378378
floof	0.978120978121
nuance	0.977863577864
triggered	0.977091377091
adulting	0.977091377091
refreshes	0.976576576577
waifu	0.976319176319
low	0.976319176319
kratom	0.976319176319
smdh	0.976319176319
automod	0.976061776062
lmfao	0.976061776062
nghtmre	0.97581673964
kraju	0.97528957529
lmaooo	0.97528957529
nuker	0.974774774775
ppl	0.97425997426
emoji	0.97425997426
skillup	0.97425997426
yass	0.974002574003
moly	0.974002574003
iot	0.974002574003
ofc	0.973487773488
saltiness	0.973487773488
seara	0.97323037323
shitshow	0.97323037323
micellar	0.97323037323
shitposters	0.972972972973
randos	0.972972972973
consistently	0.972972972973
ljh	0.972938952183
binged	0.972715572716
awakened	0.972458172458
prioritized	0.972458172458
oneshots	0.972458172458
banila	0.972200772201
randia	0.972200772201
ko	0.972200772201
archetype	0.971943371943
freesync	0.971848257255
grind	0.971685971686
echo	0.971685971686
multipliers	0.971428571429
struggle	0.971428571429
btfo	0.971171171171
falstad	0.971171171171
obs	0.971171171171
tankies	0.970913770914
obvs	0.970913770914
millennials	0.970913770914
prioritizing	0.970656370656
atleast	0.970656370656
reqs	0.970398970399
kamala	0.970398970399
millenials	0.970398970399
goalposts	0.969884169884
emojis	0.969884169884
arent	0.969884169884
tret	0.969626769627
primary	0.969626769627
chars	0.969369369369
keyset	0.969369369369
millennial	0.969111969112
rank	0.969111969112
synergy	0.969111969112
bandai	0.968854568855
postmates	0.968854568855
kohi	0.968854568855
stats	0.968854568855
definetly	0.968854568855
eps	0.968597168597
staat	0.968597168597
venmo	0.96833976834
pogchamp	0.96833976834
og	0.96833976834
beatmap	0.968082368082
removed	0.968082368082
playerbase	0.968082368082
headcannon	0.968082368082
teammate	0.967824967825
issue	0.967824967825
memeing	0.967824967825
redmi	0.96766439451
ded	0.967567567568
litterally	0.967567567568
fomo	0.967567567568
brawlhalla	0.967470347309
obv	0.96731016731
sortie	0.96731016731
align	0.96731016731
cico	0.96731016731
rojava	0.967243711379
kagura	0.967052767053
unironically	0.967052767053
leaderboard	0.967052767053
prioritizes	0.967052767053
kys	0.966795366795
boiz	0.966795366795
ddu	0.966795366795
metas	0.966537966538
yaaasss	0.966280566281
qol	0.966280566281
multiplier	0.966280566281
po	0.966280566281
thematically	0.966280566281
cosrx	0.966034497036
gtfoh	0.966023166023
jotaro	0.966023166023
af	0.965765765766
ceramide	0.965765765766
edgelords	0.965593970558
benzo	0.965250965251
compared	0.965250965251
absolutely	0.965250965251
aligns	0.965250965251
isnt	0.964993564994
gateron	0.964973357948
hmu	0.964736164736
