category,words
intensifiers,af/asf/hella/lowkey/deadass
future,boutta/trynna
discourse,tbh/tbqh/ofc/waddup/whaddup/wowie/tmw/smh/smdh/gotchu/fam/tbf/hmu/jfc/wth/lmao/lmfaooo/lmfaoo/yas/yaas/yasss/tldw/imao/wht/daaamn/damnn/dgaf/fml/yknow/fuckyou/gtfoh
time,yday
adj_neg,cringey/cringy/cringiest/cringeworthy/whelmed/murdery/edgy/edgey/fucky/shambolic
adj_pos,chummy/lit/huuuge/yuge/yuuuge/perf
adv,defo/pdq/rn/atm
noun_neg,hellscape/fuckery/fuck/cringefest/shitshow/shitshows/shitfest/bullshittery/shadiness
verb_neg,unfuck/unfucked
misc,nonstarter/flopped/flubbing/overstuffed/smthing
technology,superthread/modpost/stickied/unsticky/unstickied/untagged/screencapping/datapoints/bricking/cammer/firming/decrypting/sexting/rehosted/youtubers/resubmit/sideloading/sideload/droprates/vlogging/yt/mooks/reupload/webcast/rt/pasting/spammer/shitbot/diffs/retweeted
videogames,playspace/veterancy/naded/savescum/savescumming/muling/squaddie/suicider/peekers/killcam/killcams/overbought/scumming/viewbotting/botters/crossplay/debuffing/critchance/platinumed/tiering/airburst/ragequitting/tankier/undercosted/instakilled/shotting/shotted/grinded/grinding/unkillable/recked/lvling/dumpstered/swingy
media,fanarts/unwatchable/multiversal/headcannon/headcanon/tropey/choreo
relationships,ghosted/ghosting/gfriend
clothing,flowy/flowey/unwearable
social,oversharing/randos/snarking/boi/gurl
social_pos,habibi/preciate
music,stanning/trappy/earworm/unlistenable/collabs
work,wfh
political,bernout/bernouts/berniebot/berniebots/berner/berners/berning/sandernista/sandernistas/sandinista/sandinistas/shillary/killary/hilldawg/hilldog/hitlery/trumper/trumpers/drumpf/tronald/cuckservative/cuckservatives/regressive/regressives/tankie/tankies/gope/gopers/safespace/altspace/birther/astroturfers/repub/illiberal/dogwhistle/bourgeoisie/proletariat/voluntarism/scaremongering/antifa
news,huffpo/huffpost/clickbaity/untruth
sports,credentialed
celebrities,swifties/biebs/zuck
insult,cuck/cucks/cucked/cucking/crybullies/wonk/wonks/weeb/wehraboo/wehraboos/fuckbois/fucko
national,dutchy/dutchies
racial,hapa/hapas/whitesplaining
religion,moslem/muzzies
fighting,murked
typo,thta
internet,memery/shitpost/shitsauce/respek/respeck/shitlord/shitlords/meirl/tsawww/memelord/sekrit/edgelord/incels/friendo/memeing/memed/memester/shitposter/shilling/shilled/shills/yolos/savagery/hypebeasts/baity/forgetti/wutface
humor,quippy/funtime/toot/wubs/shtick
family,mils/fsils
demographic,neet/millenial/millenials
cute,mlem/doggo/doggos/pupper/puppers/bork/smol/boop/booped/snoot/snakey/floof/floofy/walkies
psychology,schizoid/triggered/destress/tbis/hyperfocus
vulgar,bussy/cummy/cummies/cuckhold/cuckold/cuckolds/dogshit/unfuckable/dicked/fucc/nutted/pussys/smd/gangbanged
gender_sexuality,transness/twink/lesbos/mansplaining/nonbinary
drugs,xans/opioids/prodrug/purps/dabbing/dabbed/psychs/comeup/mollys/loosies/insufflated
food,nooch/decarbed/pourover/supps
