category,words
bio,oversleeping/coagulate/embalmed/eyestrain/delerium/transdermal/colicky/trimesters/decongestant/estrogens/nontoxic/diplopia/lacerate
british,brolly
celebrity,biebs/zuck/pewds
city_travel,brownstone/crossrail/sublets/guesthouse/bused/skidrow/cloister/brownstones
clothing,underoos/pantsuit/pincushion/unwearable/headscarves/veiling
crime,forgers/perjured/perturbator/mishandle/sleuths/pepperspray/weaponised/indicting/prosecutes/jailers/illicitly/criminalizes
cute,booped/mlem/doggo/smol/puppers/snakey/zoomies/soopers
discourse,broo/fuckyou/lmfaoo/whaddup/yaas/wowie/hahhahaha/heyguys/chicky/lbr/wowow/udf/fuckfuck/omf/thoe/ayye/huhu
drug,methylated/xans/minimax/prodrug/naturopath/naturopaths/systolic/inducer/homozygous/loosies/immunotherapy/stimmed/ciggies/opiod/purps/insufflation/dboy
econ,marketcap/tarrifs/outspending/commodified/overbought/drawstrings/inequitable/apportion/roughnecks/outspent/businessperson/debited/corporatists/overdrafts/filers/dropshipping/laboured/stockbroker/backpay
fitness,recomping/prehab/plumping/nooch/crampons
food,digestives/slurps/spiciest/sumptuous/desiccated/creamers/mashers/snacky/uncured/epicurean/softshell/dines
future,boutta
gender,feminizing
humor,pastafarianism/pastafarians/knawledge/brobots/schmeckles/respek/quippy/yuge/succotash/tooty/discombobulated/whap/cheekily/lampooned
insult,cuckhold/fuckbois/pigsty/floozies/hoodrats/faggoty/ingrates/fucksticks
intensifier,deadass/abjectly/thoroughly
internet,tsawww/yolos/wewlad/shitsauce/uncrackable/memetics/hypebeasts/memery/acks/altspace/memester/husbandos/userprofile/memey/sekrit/funtime/memelord/unfucked/internetisbeautiful/stap/explodey/spergs/dollarydoos/lifehacks
nationality,dutchy
news,soundbyte/soundbytes/misreporting/oped/misreported/misspeak/unbias
media,procedurals/moviegoer/multipart/misquotes/colorscheme/brushstrokes/masterworks/shortlisted/subtheme/ghosty/nonmagical/scriptwriters/novelizations/glitzy
