word,category
acks,onomatopoeia
adblocker,compound
adblockers,compound
adlibs,compound
adulting,derivation
adventurism,derivation
af,acronym
airburst,compound
airdrop,compound
airdrops,compound
airgun,compound
algs,clipping
altspace,compound
ammos,clipping
anology,respelling
anotha,respelling
antifa,clipping
antiwar,compound
asf,acronym
assinine,respelling
asst,clipping
astroturfers,derivation
async,clipping
atm,acronym
augs,clipping
autism,slang
automagically,compound
aviable,respelling
awaking,respelling
ayye,onomatopoeia
babyyy,respelling
backdated,compound
backlink,compound
backpay,compound
backported,compound
backtracks,compound
badman,compound
baity,derivation
banrate,compound
bantz,respelling
bby,respelling
beasting,derivation
beatdown,compound
beatdowns,compound
beaut,clipping
bec,clipping
beep,onomatopoeia
belter,derivation
belters,derivation
biebs,clipping
binged,slang
binging,slang
bioload,compound
birther,derivation
bitting,respelling
blackscreen,compound
blathers,slang
blendable,derivation
blep,onomatopoeia
blockable,derivation
blocker,derivation
blockers,derivation
blowout,compound
blowouts,compound
bodying,derivation
boi,respelling
bois,respelling
boomin,respelling
boop,onomatopoeia
booped,onomatopoeia
booping,onomatopoeia
boops,onomatopoeia
bootloop,compound
bork,onomatopoeia
botter,derivation
botters,derivation
botting,derivation
bottlers,derivation
bourgeoisie,slang
boutta,respelling
bpd,acronym
bpds,acronym
brainz,respelling
bralette,compound
bralettes,compound
bricked,derivation
bricking,derivation
britpop,compound
broads,derivation
brobots,compound
brolly,clipping
broo,respelling
brownshirts,compound
brownstone,compound
brownstones,compound
brushstrokes,compound
bruv,clipping
btfo,acronym
buckaroo,slang
buckaroos,slang
bucko,clipping
buildable,derivation
buildables,derivation
bullshittery,derivation
buoyed,derivation
bused,derivation
bussy,compound
buzzy,onomatopoeia
callable,derivation
camara,respelling
cammer,derivation
cammie,derivation
camo,clipping
camos,clipping
caregiving,compound
carpetbagger,compound
casteism,derivation
cellspot,compound
chalking,derivation
cheekily,derivation
chicky,derivation
chintzy,derivation
choreo,clipping
chum,slang
chummy,derivation
ciggies,clipping
clickbaity,derivation
clowned,derivation
clunkiness,derivation
colicky,derivation
collab,clipping
collabs,clipping
collectivists,derivation
colorism,derivation
colorscheme,compound
comeup,compound
commodified,compound
compy,clipping
conection,respelling
conning,derivation
contestable,derivation
contrivances,derivation
convo,clipping
cooch,slang
coroutines,compound
corporatist,derivation
corporatists,derivation
cosleep,compound
couchpotato,compound
couldve,respelling
counterintelligence,compound
counterpunch,compound
courseload,compound
crampons,slang
crashlands,compound
creamers,derivation
credentialed,derivation
creds,clipping
cresting,derivation
crikey,slang
cringefest,compound
cringeworthy,compound
cringey,derivation
cringiest,derivation
cringy,derivation
crit,clipping
critchance,derivation
cronies,slang
crosscheck,compound
crosscut,compound
crossplay,compound
crossrail,compound
crony,slang
crybullies,compound
crypto,clipping
cryptokey,compound
cuck,clipping
cucked,derivation
cuckhold,respelling
cucking,derivation
cuckold,slang
cuckoldry,derivation
cuckolds,slang
cucks,clipping
cuckservative,compound
cuckservatives,compound
cultivators,derivation
cummies,derivation
cummy,derivation
daaamn,respelling
daamn,respelling
dab,slang
dabbed,slang
dabbing,slang
dabs,slang
dailys,derivation
dailies,derivation
dammmn,respelling
damnn,respelling
damnnn,respelling
datapoints,compound
daypack,compound
dboy,clipping
deadass,compound
debited,derivation
debuffed,derivation
debuffer,derivation
debuffing,derivation
debuffs,derivation
decarb,derivation
decarbed,derivation
deciders,derivation
decrypting,derivation
deduplication,derivation
deflectors,derivation
defo,clipping
delerium,respelling
destress,derivation
dgaf,acronym
dicked,derivation
dicker,derivation
diffs,clipping
digestives,derivation
dimmable,derivation
disavowing,derivation
disavows,derivation
discombobulated,slang
disrupters,derivation
dmg,clipping
dming,derivation
dms,clipping
doesent,respelling
doggo,clipping
dogshit,compound
dogwhistle,compound
dollarydoos,compound
dommes,slang
dop,clipping
dops,clipping
dosing,derivation
doublecast,compound
downclocking,compound
downed,derivation
downlow,compound
downrange,compound
draftable,derivation
drawstrings,compound
drooped,slang
droprate,compound
droprates,compound
dropshipping,compound
dumpstered,derivation
dup,clipping
duped,clipping
dups,clipping
dutchies,clipping
dutchy,clipping
dyslexics,derivation
earing,respelling
earings,respelling
earworm,compound
eccentrics,derivation
edgelord,compound
edgelords,compound
edgey,derivation
edgy,derivation
effector,derivation
effectual,derivation
elopement,derivation
emo,clipping
emojis,slang
emulations,derivation
endos,clipping
ennemies,respelling
entirity,respelling
espically,respelling
eta,acronym
evangelicalism,derivation
expedience,derivation
explodey,derivation
expropriated,derivation
expy,clipping
eyestrain,compound
facesitting,compound
faceswap,compound
faggoty,derivation
fah,acronym
fam,clipping
fanarts,compound
fancam,compound
fanfics,compound
farmable,derivation
farmboy,compound
farmed,derivation
farmhand,compound
fatalist,derivation
fathead,compound
favorables,derivation
favourable,respelling
fb,clipping
feeemales,respelling
feeing,respelling
feelsbadman,compound
feelsgoodman,compound
feminizing,derivation
fest,clipping
fests,clipping
ffs,acronym
filers,derivation
firming,derivation
flappers,derivation
flashbang,compound
fleeb,slang
floof,slang
floofy,slang
floozies,slang
flopped,slang
flowey,derivation
flowy,derivation
flubbing,slang
flyovers,compound
fmil,acronym
fml,acronym
fomo,acronym
foreshortening,compound
forgers,derivation
forgetti,compound
foriegn,respelling
fracked,clipping
frackers,clipping
frameless,derivation
freeload,compound
freeloaders,compound
freeloading,compound
friendo,slang
frontliners,compound
frontload,compound
fsil,acronym
fucc,respelling
fuckbois,compound
fuckery,derivation
fuckfuck,compound
fucko,respelling
fucksticks,compound
fucky,derivation
fuckyou,compound
fug,respelling
funnelled,derivation
funnelling,derivation
funtime,compound
gaffs,slang
gamemaker,compound
gangbanger,compound
garbo,clipping
gaslighted,compound
genned,clipping
genocided,derivation
genociding,derivation
genuinly,respelling
gfriend,clipping
ghosted,derivation
ghosting,derivation
ghosty,derivation
gilf,acronym
girlz,respelling
glitzy,derivation
gobs,slang
gobsmacked,slang
golly,slang
goodjob,compound
goof,slang
goofs,slang
goon,slang
goons,slang
gooo,respelling
gope,clipping
gopers,clipping
gotchu,compound
grammy,clipping
grandbaby,compound
grandmom,compound
grassroot,compound
grinded,derivation
grinding,derivation
gtfoh,acronym
guac,clipping
guesthouse,compound
guilter,derivation
guilters,derivation
gumshoe,compound
gurl,respelling
habibi,slang
hafa,slang
hahaa,respelling
hahhahaha,respelling
hammed,derivation
handheld,compound
handholding,compound
hapa,slang
hapas,slang
hapiness,respelling
hardmod,compound
hardscoping,compound
hasted,derivation
hattie,clipping
hatty,clipping
havnt,respelling
havent,respelling
headcannon,compound
headcanon,compound
headshot,compound
heartthrob,compound
hella,slang
hellscape,compound
helmetless,derivation
heyguys,compound
highend,compound
hisss,onomatopoeia
hitcount,compound
hiting,respelling
hmu,acronym
hollers,slang
homebrew,compound
homebrewed,compound
homelab,compound
homie,clipping
honeymooned,derivation
hoodrats,compound
hopefulness,derivation
hotswap,compound
howww,respelling
huffpo,clipping
huffpost,clipping
huhu,onomatopoeia
hunty,slang
husbando,slang
husbandos,slang
hussy,slang
huuuge,respelling
hypebeast,compound
hypebeasts,compound
hyperfocus,compound
illiberal,derivation
imao,acronym
immedietly,respelling
incel,clipping
incels,clipping
incivility,derivation
incompressible,derivation
indie,clipping
influencer,derivation
influencers,derivation
ingrates,slang
initialisms,derivation
injuried,derivation
insta,clipping
instakilled,compound
insufflated,derivation
insufflation,derivation
intergovernmental,compound
internetisbeautiful,compound
intrests,respelling
involvements,derivation
islamaphobe,respelling
islamaphobia,respelling
islamaphobic,respelling
islamization,derivation
islamophobe,derivation
islamophobia,derivation
islamophobic,derivation
isolator,derivation
itemless,derivation
jabronis,slang
jailbreakable,derivation
jailers,derivation
japed,slang
jfc,acronym
jittery,derivation
jobbed,derivation
keycap,compound
killcam,compound
killcams,compound
killshot,compound
knawledge,respelling
kys,acronym
laboured,respelling
lbr,acronym
leaners,derivation
leftism,derivation
leftist,derivation
leftists,derivation
lesbos,clipping
libtards,compound
lifehacks,compound
likeability,derivation
lipsyncing,clipping
listers,derivation
lit,slang
litterally,respelling
litteraly,respelling
lmao,acronym
lmaoo,respelling
lmaooo,respelling
lmfao,acronym
lmfaoo,respelling
lmfaooo,respelling
longneck,compound
loo,slang
lool,respelling
loool,respelling
loosies,derivation
lowkey,compound
lowlight,compound
lul,acronym
lulling,derivation
lvling,derivation
lyin,respelling
manip,clipping
mansplaining,compound
marketcap,compound
mashers,derivation
masterworks,compound
meaningfulness,derivation
mechanised,respelling
medevac,compound
medpacks,compound
meirl,compound
meme,slang
memed,derivation
memeing,derivation
memelord,compound
memery,derivation
memes,slang
memester,derivation
memetics,derivation
memey,derivation
meming,derivation
merced,derivation
metas,slang
methylated,derivation
mgtow,acronym
microdose,derivation
microdosing,derivation
microtransactions,derivation
militarist,derivation
millenial,derivation
millenials,derivation
millennial,derivation
millennials,derivation
mils,clipping
minimax,compound
minimises,respelling
mishandle,derivation
mispoke,respelling
misquotes,derivation
misreported,derivation
misreporting,derivation
misspeak,derivation
mixtape,compound
mlem,onomatopoeia
modalert,compound
modmailing,compound
modpost,compound
mollies,slang
mollys,slang
monomyth,derivation
mooch,slang
mooks,slang
moonlights,derivation
moshpit,compound
moslem,respelling
motherships,compound
moviegoer,compound
mudslinging,compound
gamethrowing,compound
func,clipping
flopper,derivation
evac,clipping
bartard,compound
measurables,derivation
lowlights,compound
muling,derivation
multidisciplinary,compound
multihit,compound
multikill,compound
multikills,compound
multilayered,compound
multipart,compound
multiversal,compound
muncher,derivation
munchers,derivation
murdery,derivation
murked,derivation
muzzies,clipping
naded,clipping
naiive,respelling
nailbiter,compound
nakedly,derivation
nands,clipping
nanoscience,derivation
naturopath,compound
naturopaths,compound
naturopathic,compound
naturopathy,compound
nerdy,derivation
neet,acronym
neocon,clipping
neocons,clipping
neurodiversity,compound
ngl,acronym
nibs,clipping
nimbly,derivation
nimby,acronym
nimbys,acronym
nonbinary,derivation
nonmagical,derivation
nonstarter,derivation
nontoxic,derivation
nonviable,derivation
nonwhite,derivation
nonwhites,derivation
nooch,clipping
novelizations,derivation
npcs,acronym
nuker,clipping
nukers,clipping
numba,respelling
numbah,respelling
nutted,derivation
nuzzled,slang
observables,derivation
obstructionists,derivation
obviosuly,respelling
ofc,clipping
omf,acronym
offshoring,compound
oneshot,compound
oneshots,compound
oped,clipping
opiod,slang
opiods,slang
