word,tag
acks,G
adblocker,N
adblockers,N
adlibs,V/N
adulting,V
adventurism,N
af,R
airburst,N
airdrop,N
airdrops,N
airgun,N
algs,N
altspace,N
ammos,N
anology,N
anotha,D
antifa,A
antiwar,A
asf,R
assinine,A
asst,N
astroturfers,N
async,A
atm,R
augs,N
autism,N
automagically,R
aviable,A
awaking,V
ayye,!
babyyy,!
backdated,V
backlink,V/N
backpay,V
backported,V
backtracks,V
badman,~/G
baity,A
banrate,N
bantz,N
bby,!
beasting,V
beatdown,N
beatdowns,N
beaut,N
bec,&
beep,!
belter,N
belters,N
biebs,^
binged,V
binging,V
bioload,N
birther,N
bitting,V
blackscreen,N
blathers,V
blendable,A
blep,!
blockable,A
blocker,N
blockers,N
blowout,N
blowouts,N
bodying,V
boi,N
bois,N
boomin,V
boop,V/N
booped,V
booping,V
boops,V
bootloop,V/N
bork,V
botter,N
botters,N
botting,V
bottlers,N
bourgeoisie,N
boutta,V
bpd,N
bpds,N
brainz,N
bralette,N
bralettes,N
bricked,V
bricking,V
britpop,N
broads,N
brobots,N
brolly,N
broo,~
brownshirts,N
brownstone,N
brownstones,N
brushstrokes,N
bruv,~
btfo,!
buckaroo,N
buckaroos,N
bucko,N
buildable,A
buildables,N
bullshittery,N
buoyed,V
bused,V
bussy,N
buzzy,A
callable,A
camara,N
cammer,N
cammie,N
camo,N
camos,N
caregiving,V/A
carpetbagger,N
casteism,N
cellspot,N
chalking,V
cheekily,R
chicky,N
chintzy,A
choreo,N
chum,N
chummy,A
ciggies,N
clickbaity,A
clowned,V
clunkiness,A
colicky,A
collab,N/V
collabs,N/V
collectivists,N
colorism,N
colorscheme,N
comeup,N
commodified,V
compy,N
conection,N
conning,V
contestable,A
contrivances,N
convo,N
cooch,N
coroutines,N
corporatist,N
corporatists,N
cosleep,V
couchpotato,N
couldve,V
counterintelligence,N
counterpunch,N
courseload,N
crampons,N
crashlands,V
creamers,N
credentialed,V
creds,N
cresting,V
crikey,!
cringefest,N
cringeworthy,A
cringey,A
cringiest,A
cringy,A
crit,N
critchance,N
cronies,N
crosscheck,V/N
crosscut,V/N
crossplay,V/N
crossrail,N
crony,N
crybullies,N
crypto,N
cryptokey,N
cuck,N/V
cucked,V
cuckhold,N
cucking,V
cuckold,N
cuckoldry,N
cuckolds,N
cucks,N/V
cuckservative,N
cuckservatives,N
cultivators,N
cummies,N
cummy,N
daaamn,!
daamn,!
dab,V
dabbed,V
dabbing,V
dabs,V
dailys,N
dailies,N
dammmn,!
damnn,!
damnnn,!
datapoints,N
daypack,N
dboy,N
deadass,R/A
debited,V
debuffed,V
debuffer,N
debuffing,V
debuffs,N/V
decarb,V
decarbed,V
deciders,N
decrypting,V
deduplication,N
deflectors,N
defo,R
delerium,N
destress,V
dgaf,G
dicked,V
dicker,N
diffs,N
digestives,N
dimmable,A
disavowing,V
disavows,V
discombobulated,V
disrupters,N
dmg,N
dming,V
dms,N
doesent,V
doggo,N
dogshit,N
dogwhistle,V
dollarydoos,N
dommes,N
dop,V/N
dops,V/N
dosing,V
doublecast,V
downclocking,V
downed,V
downlow,N
downrange,A
draftable,A
drawstrings,N
drooped,V
droprate,N
droprates,N
dropshipping,V
dumpstered,V
dup,V
duped,V
dups,V
dutchies,N
dutchy,N
dyslexics,N
earing,N
earings,N
earworm,N
eccentrics,N
edgelord,N
edgelords,N
edgey,A
edgy,A
effector,N
effectual,A
elopement,N
emo,N
emojis,N
emulations,N
endos,N
ennemies,N
entirity,N
espically,R
eta,N
evangelicalism,N
expedience,N
explodey,A
expropriated,V
expy,A
eyestrain,N
facesitting,V
faceswap,V
faggoty,A
fah,G
fam,~
fanarts,N
fancam,N
fanfics,N
farmable,A
farmboy,N
farmed,V
farmhand,N
fatalist,N
fathead,N
favorables,N
favourable,V
fb,^
feeemales,N
feeing,N
feelsbadman,G
feelsgoodman,G
feminizing,V
fest,N
fests,N
ffs,G
filers,N
firming,V
flappers,N
flashbang,N
fleeb,N
floof,N
floofy,A
floozies,N
flopped,V
flowey,A
flowy,A
flubbing,V
flyovers,N
fmil,N
fml,G
fomo,G
foreshortening,V
forgers,N
forgetti,N
foriegn,A
fracked,V
frackers,N
frameless,A
freeload,V
freeloaders,N
freeloading,A
friendo,N
frontliners,N
frontload,V
fsil,N
fucc,V
fuckbois,N
fuckery,N
fuckfuck,!
fucko,N
fucksticks,N
fucky,A
fuckyou,!
fug,K
funnelled,V
funnelling,V
funtime,N
gaffs,N
gamemaker,N
gangbanger,N
garbo,N
gaslighted,V
genned,V
genocided,V
genociding,V
genuinly,R
gfriend,N
ghosted,V
ghosting,V
ghosty,A
gilf,N
girlz,N
glitzy,A
gobs,N
gobsmacked,A
golly,!
goodjob,!
goof,N/V
goofs,N/V
goon,N
goons,N
gooo,V
gope,N
gopers,N
gotchu,L
grammy,N
grandbaby,N
grandmom,N
grassroot,A
grinded,V
grinding,V
gtfoh,!
guac,N
guesthouse,N
guilter,N
guilters,N
gumshoe,N
gurl,~
habibi,N
hafa,N
hahaa,~
hahhahaha,~
hammed,V
handheld,A
handholding,V/A
hapa,N
hapas,N
hapiness,N
hardmod,N
hardscoping,V
hasted,V
hattie,N
hatty,N
havnt,V
havent,V
headcannon,N
headcanon,N
headshot,N
heartthrob,N
hella,R
hellscape,N
helmetless,A
heyguys,!
highend,A
hisss,!
hitcount,N
hiting,V
hmu,G
hollers,V
homebrew,N/V
homebrewed,A/V
homelab,N
homie,N
honeymooned,V
hoodrats,N
hopefulness,N
hotswap,N/V
howww,~
huffpo,^
huffpost,^
huhu,~
hunty,N
husbando,N
husbandos,N
hussy,N
huuuge,A
hypebeast,N
hypebeasts,N
hyperfocus,N
illiberal,A
imao,G
immedietly,R
incel,N
incels,N
incivility,N
incompressible,A
indie,A
influencer,N
influencers,N
ingrates,N
initialisms,N
injuried,V
insta,A
instakilled,V
insufflated,A
insufflation,N
intergovernmental,A
internetisbeautiful,^
intrests,N
involvements,N
islamaphobe,N
islamaphobia,N
islamaphobic,A
islamization,N
islamophobe,N
islamophobia,N
islamophobic,A
isolator,N
itemless,A
jabronis,N
jailbreakable,A
jailers,N
japed,V
jfc,!
jittery,A
jobbed,V
keycap,N
killcam,N
killcams,N
killshot,N
knawledge,N
kys,~
laboured,V
lbr,~
leaners,N
leftism,N
leftist,N
leftists,N
lesbos,N
libtards,N
lifehacks,N
likeability,N
lipsyncing,V
listers,N
lit,A
litterally,R
litteraly,R
lmao,~
lmaoo,~
lmaooo,~
lmfao,~
lmfaoo,~
lmfaooo,~
longneck,N
loo,N
lool,~
loool,~
loosies,N
lowkey,R
lowlight,N
lul,~
lulling,V
lvling,V
lyin,V
manip,N
mansplaining,N
marketcap,N
mashers,N
masterworks,N
meaningfulness,N
mechanised,V
medevac,N/V
medpacks,N
meirl,^
meme,N/V
memed,V
memeing,V
memelord,N
memery,N
memes,N
memester,N
memetics,N
memey,A
meming,V
merced,V
metas,N
methylated,A
mgtow,N
microdose,N/V
microdosing,V
microtransactions,N
militarist,A
millenial,N
millenials,N
millennial,N
millennials,N
mils,N
minimax,A
minimises,V
mishandle,V
mispoke,V
misquotes,V
misreported,V
misreporting,V
misspeak,V
mixtape,N
mlem,G
modalert,N
modmailing,V
modpost,N
mollies,N
mollys,N
monomyth,N
mooch,V
mooks,N
moonlights,V
moshpit,N
moslem,^
motherships,N
moviegoer,N
mudslinging,N/V
gamethrowing,N
func,N
flopper,N
evac,N
crony,N
bartard,N
measurables,N
lowlights,N
muling,V
multidisciplinary,A
multihit,N
multikill,N
multikills,N
multilayered,A
multipart,A
multiversal,A
muncher,N
munchers,N
murdery,A
murked,V
muzzies,N
naded,V
naiive,A
nailbiter,N
nakedly,R
nands,N
nanoscience,N
naturopath,N
naturopaths,N
naturopathic,A
naturopathy,N
nerdy,A
neet,N
neocon,N
neocons,N
neurodiversity,N
ngl,~
