	spearman	success	word category
tho	0.999227799	Y	clipping/respelling
tbh	0.998712999	Y	acronym
shitpost	0.995624196	Y	blend
idk	0.995366795	Y	acronym
lmao	0.995366795	Y	acronym
smh	0.995109395	Y	acronym
tbf	0.994851995	Y	acronym
jfc	0.994851995	Y	acronym
clickbaity	0.993564994	Y	blend
weeb	0.993050193	Y	clipping
insane	0.991505792	N	n/a
lowkey	0.991505792	Y	blend
nah	0.991248391	Y	respelling
impactful	0.990733591	N	n/a
skillups	0.99021879	N	n/a
literally	0.989446589	N	n/a
shitposting	0.988931789	Y	blend
weirdly	0.988674389	N	n/a
rn	0.988674389	Y	acronym
ffs	0.988416988	Y	acronym
aliexpress	0.988416988	N	n/a
multiple	0.988159588	N	n/a
vaporwave	0.987644788	N	n/a
yooo	0.987387387	Y	onomatopoeia/respelling
meanwhile	0.986872587	N	n/a
imo	0.986872587	Y	acronym
edgelord	0.98685649	Y	blend
slog	0.986100386	N	n/a
dogshit	0.986100386	Y	blend
lmfaooo	0.985842986	Y	acronym/respelling
salty	0.985842986	N	n/a
lol	0.985070785	Y	acronym
cammer	0.985070785	Y	derivation
misremembering	0.984813385	N	n/a
ikr	0.984555985	Y	acronym
oneshot	0.984298584	Y	blend
shitposter	0.984298584	Y	blend
baity	0.984298584	Y	derivation
weebs	0.984041184	Y	clipping/respelling
cryorig	0.983968983	N	n/a
lmaoo	0.983783784	Y	acronym/respelling
shitposts	0.983783784	Y	blend
ultrawide	0.983526384	N	n/a
blyat	0.983268983	N	n/a
prioritise	0.983011583	N	n/a
insta	0.982754183	N	n/a
theyre	0.982496782	N	n/a
paired	0.981981982	N	n/a
additional	0.981981982	N	n/a
grailed	0.981981982	N	n/a
memed	0.981981982	Y	derivation
headcanon	0.981724582	Y	blend
overall	0.981724582	N	n/a
loool	0.981724582	N	n/a
asf	0.981724582	Y	acronym
reliably	0.981467181	N	n/a
aio	0.981467181	N	n/a
rate	0.981209781	N	n/a
prioritize	0.980952381	N	n/a
farmable	0.980952381	N	n/a
doable	0.98018018	N	n/a
suuuper	0.98018018	N	n/a
canonically	0.97966538	N	n/a
defo	0.97966538	Y	clipping
yknow	0.979407979	Y	blend
waifus	0.979150579	Y	clipping/respelling
stickied	0.979150579	Y	derivation
highest	0.979150579	N	n/a
shitposted	0.978893179	Y	blend
afaik	0.978893179	Y	acronym
yasss	0.978378378	Y	respelling
floof	0.978120978	Y	respelling
nuance	0.977863578	N	n/a
triggered	0.977091377	N	n/a
adulting	0.977091377	Y	derivation
refreshes	0.976576577	N	n/a
waifu	0.976319176	Y	clipping/respelling
low	0.976319176	N	n/a
kratom	0.976319176	N	n/a
smdh	0.976319176	Y	acronym
automod	0.976061776	Y	blend
lmfao	0.976061776	Y	acronym
nghtmre	0.97581674	N	n/a
kraju	0.975289575	N	n/a
lmaooo	0.975289575	Y	acronym/respelling
nuker	0.974774775	Y	derivation
ppl	0.974259974	Y	clipping
emoji	0.974259974	N	n/a
skillup	0.974259974	N	n/a
yass	0.974002574	Y	respelling
moly	0.974002574	N	n/a
iot	0.974002574	N	n/a
ofc	0.973487773	Y	blend/clipping
saltiness	0.973487773	Y	derivation
seara	0.973230373	N	n/a
shitshow	0.973230373	Y	blend
micellar	0.973230373	N	n/a
shitposters	0.972972973	Y	blend
randos	0.972972973	Y	clipping/derivation
consistently	0.972972973	N	n/a
ljh	0.972938952	N	n/a
binged	0.972715573	N	n/a
awakened	0.972458172	N	n/a
prioritized	0.972458172	N	n/a
oneshots	0.972458172	Y	blend
banila	0.972200772	N	n/a
randia	0.972200772	N	n/a
ko	0.972200772	N	n/a
archetype	0.971943372	N	n/a
freesync	0.971848257	N	n/a
grind	0.971685972	N	n/a
echo	0.971685972	N	n/a
multipliers	0.971428571	N	n/a
struggle	0.971428571	N	n/a
btfo	0.971171171	Y	acronym
falstad	0.971171171	N	n/a
obs	0.971171171	N	n/a
tankies	0.970913771	Y	derivation
obvs	0.970913771	Y	clipping
millennials	0.970913771	N	n/a
prioritizing	0.970656371	N	n/a
atleast	0.970656371	Y	blend
reqs	0.97039897	Y	clipping/derivation
kamala	0.97039897	N	n/a
millenials	0.97039897	N	n/a
goalposts	0.96988417	N	n/a
emojis	0.96988417	N	n/a
arent	0.96988417	N	n/a
tret	0.96962677	N	n/a
primary	0.96962677	N	n/a
chars	0.969369369	N	n/a
keyset	0.969369369	Y	blend
millennial	0.969111969	N	n/a
rank	0.969111969	N	n/a
synergy	0.969111969	N	n/a
bandai	0.968854569	N	n/a
postmates	0.968854569	N	n/a
kohi	0.968854569	N	n/a
stats	0.968854569	N	n/a
definetly	0.968854569	N	n/a
eps	0.968597169	Y	derivation
staat	0.968597169	N	n/a
venmo	0.968339768	N	n/a
pogchamp	0.968339768	N	n/a
og	0.968339768	Y	acronym
beatmap	0.968082368	N	n/a
removed	0.968082368	N	n/a
playerbase	0.968082368	Y	blend
headcannon	0.968082368	N	n/a
teammate	0.967824968	N	n/a
issue	0.967824968	N	n/a
memeing	0.967824968	Y	derivation
redmi	0.967664395	N	n/a
ded	0.967567568	Y	respelling
litterally	0.967567568	N	n/a
fomo	0.967567568	Y	acronym
brawlhalla	0.967470347	N	n/a
obv	0.967310167	Y	clipping
sortie	0.967310167	N	n/a
align	0.967310167	N	n/a
cico	0.967310167	N	n/a
rojava	0.967243711	N	n/a
kagura	0.967052767	N	n/a
unironically	0.967052767	N	n/a
leaderboard	0.967052767	Y	blend
prioritizes	0.967052767	N	n/a
kys	0.966795367	Y	acronym
boiz	0.966795367	Y	respelling
ddu	0.966795367	N	n/a
metas	0.966537967	N	n/a
yaaasss	0.966280566	N	n/a
qol	0.966280566	N	n/a
multiplier	0.966280566	N	n/a
po	0.966280566	N	n/a
thematically	0.966280566	N	n/a
cosrx	0.966034497	N	n/a
gtfoh	0.966023166	Y	acronym
jotaro	0.966023166	N	n/a
af	0.965765766	Y	acronym
ceramide	0.965765766	N	n/a
edgelords	0.965593971	Y	blend
benzo	0.965250965	Y	clipping
compared	0.965250965	N	n/a
absolutely	0.965250965	N	n/a
aligns	0.965250965	N	n/a
isnt	0.964993565	N	n/a
gateron	0.964973358	N	n/a
hmu	0.964736165	Y	acronym
bantz	0.964736165	Y	clipping/respelling
worldbuilding	0.964478764	Y	blend
apds	0.964478764	N	n/a
delusional	0.964478764	N	n/a
underwhelming	0.964478764	N	n/a
solo	0.964478764	N	n/a
nvenc	0.964478764	N	n/a
significantly	0.964478764	N	n/a
definetely	0.964221364	N	n/a
collab	0.964221364	Y	clipping
combo	0.964221364	Y	clipping
gearbest	0.964068078	N	n/a
